排名,封面,歌名,歌手,愛心數量,愛心數量(數值),播放次數,時長,發佈日期,標籤,歌曲連結
150,https://i.ytimg.com/vi/40dJS_LC6S8/sddefault.jpg,泥中に咲く,ウォルピスカーター,1.1K,1100,32.1K,4:51,2018-12-26,"#JPOP, #ウォルピスカーター",https://www.marumaru-x.com/japanese-song/play-v7n31jzrkw
151,https://i.ytimg.com/vi/kagoEGKHZvU/sddefault.jpg,NIGHT DANCER,imase,1.1K,1100,37.7K,3:31,2022-08-19,"#JPOP, #imase",https://www.marumaru-x.com/japanese-song/play-xqrd9m46nd
152,https://i.ytimg.com/vi/Rwzy6Qt8gq8/sddefault.jpg,花の塔,さユり,1.1K,1100,29.6K,4:36,2022-07-03,"#ANM, #さユり",https://www.marumaru-x.com/japanese-song/play-72r9mj69oz
153,https://i.ytimg.com/vi/TXpGWhdwXuo/sddefault.jpg,僕らの手には何もないけど、,RAM WIRE,1.1K,1100,32.6K,4:26,2015-05-27,"#JPOP, #RAM WIRE",https://www.marumaru-x.com/japanese-song/play-1zn4kdmre4
154,https://i.ytimg.com/vi/5CSNv9MNEC4/sddefault.jpg,Don't say“lazy”,放課後ティータイム,1.1K,1100,11.8K,4:24,2009-04-22,"#ANM, #放課後ティータイム",https://www.marumaru-x.com/japanese-song/play-dvol9mg4o2
155,https://i.ytimg.com/vi/GB3DN7B4mx4/sddefault.jpg,レイン,シド,1.1K,1100,14.2K,4:20,2010-06-02,"#ANM, #シド",https://www.marumaru-x.com/japanese-song/play-1poxq24kry
156,https://i.ytimg.com/vi/Lq2-HHP04jM/sddefault.jpg,変わらないもの,奥華子,1.1K,1100,11K,4:46,2006-07-12,"#ANM, #奥華子",https://www.marumaru-x.com/japanese-song/play-94oglzv5r0
157,https://i.ytimg.com/vi/NCPH9JUFESA/sddefault.jpg,負けないで,ZARD,1.1K,1100,63.2K,4:40,1993-01-27,"#JPOP, #ZARD",https://www.marumaru-x.com/japanese-song/play-60rm98pdnp
158,https://i.ytimg.com/vi/VhdxHln7TOU/sddefault.jpg,Secret of my heart,倉木麻衣,1.1K,1100,15.5K,4:27,2000-04-26,"#ANM, #倉木麻衣",https://www.marumaru-x.com/japanese-song/play-q9oql2qqn4
159,https://i.ytimg.com/vi/wM4laths4-Y/sddefault.jpg,世界は恋に落ちている,CHiCO with HoneyWorks,1.1K,1100,17.9K,5:21,2014-08-06,"#ANM, #HoneyWorks, #CHiCO",https://www.marumaru-x.com/japanese-song/play-ymre1j6gnd
160,https://i.ytimg.com/vi/M2cckDmNLMI/sddefault.jpg,KICK BACK,米津玄師,1.1K,1100,37K,3:48,2022-10-12,"#ANM, #米津玄師",https://www.marumaru-x.com/japanese-song/play-lkrz53y6re
161,https://i.ytimg.com/vi/nhOhFOoURnE/sddefault.jpg,三原色,YOASOBI,1.1K,1100,43.7K,3:47,2021-07-02,"#JPOP, #YOASOBI",https://www.marumaru-x.com/japanese-song/play-xqrd9jwdnd
162,https://i.ytimg.com/vi/a6nmtJAC4NM/sddefault.jpg,My Dearest,supercell,1.1K,1100,18K,5:54,2011-11-23,"#ANM, #supercell",https://www.marumaru-x.com/japanese-song/play-xqrdx6vnd4
163,https://i.ytimg.com/vi/H08YWE4CIFQ/sddefault.jpg,Overdose,なとり,1.1K,1100,30.5K,3:14,2022-09-07,"#JPOP, #なとり",https://www.marumaru-x.com/japanese-song/play-pynpv6y9nd
164,https://i.ytimg.com/vi/KMTo2LmixqQ/sddefault.jpg,summertime,cinnamons × evening cinema,1.1K,1100,36.2K,4:12,2018-12-12,"#JPOP, #cinnamons, #evening cinema",https://www.marumaru-x.com/japanese-song/play-y7okw5ypoq
165,https://i.ytimg.com/vi/ptnYBctoexk/sddefault.jpg,馬と鹿,米津玄師,1.1K,1100,44.7K,4:45,2019-09-11,"#JPOP, #米津玄師",https://www.marumaru-x.com/japanese-song/play-dvol994do2
166,https://i.ytimg.com/vi/OcNSFV5Io0Q/sddefault.jpg,oath sign,LiSA,1.1K,1100,22.9K,4:11,2011-11-23,"#ANM, #LiSA",https://www.marumaru-x.com/japanese-song/play-v7n3klkokw
167,https://i.ytimg.com/vi/Woorod1gJ_w/sddefault.jpg,小さな恋のうた,天月,1.1K,1100,34.4K,4:40,,"#OTH, #天月",https://www.marumaru-x.com/japanese-song/play-dvolkjkr2w
168,https://i.ytimg.com/vi/1FliVTcX8bQ/sddefault.jpg,新時代,Ado,1.1K,1100,34.3K,3:57,2022-08-10,"#ANM, #Ado",https://www.marumaru-x.com/japanese-song/play-94ogl4kpr0
169,https://i.ytimg.com/vi/8L5cQlXMpeY/sddefault.jpg,「僕は...」,あたらよ,1.1K,1100,29K,3:58,2024-01-08,"#ANM, #あたらよ",https://www.marumaru-x.com/japanese-song/play-94ogly0er0
170,https://i.ytimg.com/vi/OZ3UuZdUHZc/sddefault.jpg,未来へ,Kiroro,1.1K,1100,27.8K,5:30,1998-06-24,"#JPOP, #Kiroro",https://www.marumaru-x.com/japanese-song/play-g9r01q8ov8
171,https://i.ytimg.com/vi/qIoDWTF0qSo/hqdefault.jpg,深い森,Do As Infinity,1.1K,1100,20.1K,4:17,2001-06-27,"#ANM, #Do As Infinity",https://www.marumaru-x.com/japanese-song/play-lkrz02yoeq
172,https://i.ytimg.com/vi/ZhMakZuBU-o/sddefault.jpg,"One more time, One more chance",山崎まさよし,1K,1000,27.7K,5:33,1997-01-22,"#ANM, #山崎まさよし",https://www.marumaru-x.com/japanese-song/play-vxn5w08n9e
173,https://i.ytimg.com/vi/QFryFamyq4U/sddefault.jpg,星屑ビーナス,Aimer,1K,1000,28.5K,4:13,2012-08-15,"#JPOP, #Aimer",https://www.marumaru-x.com/japanese-song/play-60rmwx0opz
174,https://i.ytimg.com/vi/6HYHdkEYdQE/sddefault.jpg,いけないボーダーライン,ワルキューレ,1K,1000,10.9K,4:43,2016-05-11,"#ANM, #ワルキューレ, #JUNNA, #鈴木みのり, #安野希世乃, #西田望見, #東山奈央",https://www.marumaru-x.com/japanese-song/play-ymre1z36nd
175,https://i.ytimg.com/vi/Hh9yZWeTmVM/sddefault.jpg,The Beginning,ONE OK ROCK,1K,1000,30.9K,5:14,2012-08-22,"#JPOP, #ONE OK ROCK",https://www.marumaru-x.com/japanese-song/play-lvnw15qo7x
176,https://i.ytimg.com/vi/ERLEeGVWYxg/sddefault.jpg,シュガーソングとビターステップ,UNISON SQUARE GARDEN,1K,1000,25.8K,4:23,2015-05-20,"#ANM, #UNISON SQUARE GARDEN",https://www.marumaru-x.com/japanese-song/play-94ogwykn0j
177,https://i.ytimg.com/vi/yo-0lPwPnbo/sddefault.jpg,会いたくて 会いたくて,西野カナ,1K,1000,28.1K,4:44,2010-05-19,"#JPOP, #西野カナ",https://www.marumaru-x.com/japanese-song/play-pynpvd0ndm
178,https://i.ytimg.com/vi/AzPWGoHvJsM/sddefault.jpg,プラチナ,坂本真綾,1K,1000,11.8K,4:11,1999-10-21,"#ANM, #坂本真綾",https://www.marumaru-x.com/japanese-song/play-60rm9zwznp
179,https://i.ytimg.com/vi/ARwVe1MYAUA/sddefault.jpg,君はロックを聴かない,あいみょん,1K,1000,35.9K,4:27,2017-08-02,"#JPOP, #あいみょん",https://www.marumaru-x.com/japanese-song/play-y7okxelnq9
